DistrictID,SchoolYear,DistrictClassification
15907,1993-94,MAJOR URBAN
15915,1993-94,MAJOR URBAN
57905,1993-94,MAJOR URBAN
71902,1993-94,MAJOR URBAN
71905,1993-94,MAJOR URBAN
101912,1993-94,MAJOR URBAN
178904,1993-94,MAJOR URBAN
220905,1993-94,MAJOR URBAN
227901,1993-94,MAJOR URBAN
15901,1993-94,MAJOR SUBURBAN
15904,1993-94,MAJOR SUBURBAN
15905,1993-94,MAJOR SUBURBAN
15908,1993-94,MAJOR SUBURBAN
15910,1993-94,MAJOR SUBURBAN
15911,1993-94,MAJOR SUBURBAN
15912,1993-94,MAJOR SUBURBAN
15916,1993-94,MAJOR SUBURBAN
20908,1993-94,MAJOR SUBURBAN
57903,1993-94,MAJOR SUBURBAN
57904,1993-94,MAJOR SUBURBAN
57906,1993-94,MAJOR SUBURBAN
57907,1993-94,MAJOR SUBURBAN
57909,1993-94,MAJOR SUBURBAN
57910,1993-94,MAJOR SUBURBAN
57911,1993-94,MAJOR SUBURBAN
57912,1993-94,MAJOR SUBURBAN
57914,1993-94,MAJOR SUBURBAN
57916,1993-94,MAJOR SUBURBAN
57922,1993-94,MAJOR SUBURBAN
61902,1993-94,MAJOR SUBURBAN
71901,1993-94,MAJOR SUBURBAN
71907,1993-94,MAJOR SUBURBAN
71909,1993-94,MAJOR SUBURBAN
79907,1993-94,MAJOR SUBURBAN
84910,1993-94,MAJOR SUBURBAN
101902,1993-94,MAJOR SUBURBAN
101903,1993-94,MAJOR SUBURBAN
101905,1993-94,MAJOR SUBURBAN
101907,1993-94,MAJOR SUBURBAN
101908,1993-94,MAJOR SUBURBAN
101909,1993-94,MAJOR SUBURBAN
101910,1993-94,MAJOR SUBURBAN
101911,1993-94,MAJOR SUBURBAN
101913,1993-94,MAJOR SUBURBAN
101914,1993-94,MAJOR SUBURBAN
101915,1993-94,MAJOR SUBURBAN
101916,1993-94,MAJOR SUBURBAN
101917,1993-94,MAJOR SUBURBAN
101919,1993-94,MAJOR SUBURBAN
101920,1993-94,MAJOR SUBURBAN
101921,1993-94,MAJOR SUBURBAN
105906,1993-94,MAJOR SUBURBAN
178903,1993-94,MAJOR SUBURBAN
178912,1993-94,MAJOR SUBURBAN
178914,1993-94,MAJOR SUBURBAN
178915,1993-94,MAJOR SUBURBAN
220901,1993-94,MAJOR SUBURBAN
220902,1993-94,MAJOR SUBURBAN
220904,1993-94,MAJOR SUBURBAN
220906,1993-94,MAJOR SUBURBAN
220907,1993-94,MAJOR SUBURBAN
220908,1993-94,MAJOR SUBURBAN
220912,1993-94,MAJOR SUBURBAN
220915,1993-94,MAJOR SUBURBAN
220916,1993-94,MAJOR SUBURBAN
220917,1993-94,MAJOR SUBURBAN
220918,1993-94,MAJOR SUBURBAN
220920,1993-94,MAJOR SUBURBAN
227904,1993-94,MAJOR SUBURBAN
227909,1993-94,MAJOR SUBURBAN
227910,1993-94,MAJOR SUBURBAN
227913,1993-94,MAJOR SUBURBAN
246909,1993-94,MAJOR SUBURBAN
246913,1993-94,MAJOR SUBURBAN
14906,1993-94,OTHER CENTRAL CITY
20901,1993-94,OTHER CENTRAL CITY
20905,1993-94,OTHER CENTRAL CITY
21902,1993-94,OTHER CENTRAL CITY
31901,1993-94,OTHER CENTRAL CITY
43910,1993-94,OTHER CENTRAL CITY
61901,1993-94,OTHER CENTRAL CITY
68901,1993-94,OTHER CENTRAL CITY
79901,1993-94,OTHER CENTRAL CITY
84902,1993-94,OTHER CENTRAL CITY
92903,1993-94,OTHER CENTRAL CITY
108904,1993-94,OTHER CENTRAL CITY
108906,1993-94,OTHER CENTRAL CITY
108909,1993-94,OTHER CENTRAL CITY
123910,1993-94,OTHER CENTRAL CITY
152901,1993-94,OTHER CENTRAL CITY
161914,1993-94,OTHER CENTRAL CITY
165901,1993-94,OTHER CENTRAL CITY
170902,1993-94,OTHER CENTRAL CITY
212905,1993-94,OTHER CENTRAL CITY
221901,1993-94,OTHER CENTRAL CITY
240901,1993-94,OTHER CENTRAL CITY
243905,1993-94,OTHER CENTRAL CITY
246904,1993-94,OTHER CENTRAL CITY
5902,1993-94,OTHER CENTRAL CITY SUBURBAN
14903,1993-94,OTHER CENTRAL CITY SUBURBAN
14909,1993-94,OTHER CENTRAL CITY SUBURBAN
20902,1993-94,OTHER CENTRAL CITY SUBURBAN
20906,1993-94,OTHER CENTRAL CITY SUBURBAN
20907,1993-94,OTHER CENTRAL CITY SUBURBAN
21901,1993-94,OTHER CENTRAL CITY SUBURBAN
24901,1993-94,OTHER CENTRAL CITY SUBURBAN
30902,1993-94,OTHER CENTRAL CITY SUBURBAN
31903,1993-94,OTHER CENTRAL CITY SUBURBAN
31906,1993-94,OTHER CENTRAL CITY SUBURBAN
31909,1993-94,OTHER CENTRAL CITY SUBURBAN
31912,1993-94,OTHER CENTRAL CITY SUBURBAN
43901,1993-94,OTHER CENTRAL CITY SUBURBAN
43905,1993-94,OTHER CENTRAL CITY SUBURBAN
43907,1993-94,OTHER CENTRAL CITY SUBURBAN
43914,1993-94,OTHER CENTRAL CITY SUBURBAN
50910,1993-94,OTHER CENTRAL CITY SUBURBAN
61905,1993-94,OTHER CENTRAL CITY SUBURBAN
61908,1993-94,OTHER CENTRAL CITY SUBURBAN
61911,1993-94,OTHER CENTRAL CITY SUBURBAN
61912,1993-94,OTHER CENTRAL CITY SUBURBAN
61914,1993-94,OTHER CENTRAL CITY SUBURBAN
84901,1993-94,OTHER CENTRAL CITY SUBURBAN
84904,1993-94,OTHER CENTRAL CITY SUBURBAN
84906,1993-94,OTHER CENTRAL CITY SUBURBAN
84908,1993-94,OTHER CENTRAL CITY SUBURBAN
84909,1993-94,OTHER CENTRAL CITY SUBURBAN
84911,1993-94,OTHER CENTRAL CITY SUBURBAN
92901,1993-94,OTHER CENTRAL CITY SUBURBAN
92902,1993-94,OTHER CENTRAL CITY SUBURBAN
92904,1993-94,OTHER CENTRAL CITY SUBURBAN
92906,1993-94,OTHER CENTRAL CITY SUBURBAN
92907,1993-94,OTHER CENTRAL CITY SUBURBAN
92908,1993-94,OTHER CENTRAL CITY SUBURBAN
100905,1993-94,OTHER CENTRAL CITY SUBURBAN
108902,1993-94,OTHER CENTRAL CITY SUBURBAN
108903,1993-94,OTHER CENTRAL CITY SUBURBAN
108907,1993-94,OTHER CENTRAL CITY SUBURBAN
108908,1993-94,OTHER CENTRAL CITY SUBURBAN
108911,1993-94,OTHER CENTRAL CITY SUBURBAN
108912,1993-94,OTHER CENTRAL CITY SUBURBAN
108913,1993-94,OTHER CENTRAL CITY SUBURBAN
108916,1993-94,OTHER CENTRAL CITY SUBURBAN
123905,1993-94,OTHER CENTRAL CITY SUBURBAN
123907,1993-94,OTHER CENTRAL CITY SUBURBAN
123908,1993-94,OTHER CENTRAL CITY SUBURBAN
146901,1993-94,OTHER CENTRAL CITY SUBURBAN
152906,1993-94,OTHER CENTRAL CITY SUBURBAN
152907,1993-94,OTHER CENTRAL CITY SUBURBAN
152908,1993-94,OTHER CENTRAL CITY SUBURBAN
152909,1993-94,OTHER CENTRAL CITY SUBURBAN
161903,1993-94,OTHER CENTRAL CITY SUBURBAN
161906,1993-94,OTHER CENTRAL CITY SUBURBAN
161921,1993-94,OTHER CENTRAL CITY SUBURBAN
161922,1993-94,OTHER CENTRAL CITY SUBURBAN
165902,1993-94,OTHER CENTRAL CITY SUBURBAN
170903,1993-94,OTHER CENTRAL CITY SUBURBAN
170904,1993-94,OTHER CENTRAL CITY SUBURBAN
170906,1993-94,OTHER CENTRAL CITY SUBURBAN
170907,1993-94,OTHER CENTRAL CITY SUBURBAN
170908,1993-94,OTHER CENTRAL CITY SUBURBAN
212902,1993-94,OTHER CENTRAL CITY SUBURBAN
212903,1993-94,OTHER CENTRAL CITY SUBURBAN
212906,1993-94,OTHER CENTRAL CITY SUBURBAN
212909,1993-94,OTHER CENTRAL CITY SUBURBAN
212910,1993-94,OTHER CENTRAL CITY SUBURBAN
214901,1993-94,OTHER CENTRAL CITY SUBURBAN
221904,1993-94,OTHER CENTRAL CITY SUBURBAN
221912,1993-94,OTHER CENTRAL CITY SUBURBAN
240903,1993-94,OTHER CENTRAL CITY SUBURBAN
243901,1993-94,OTHER CENTRAL CITY SUBURBAN
243903,1993-94,OTHER CENTRAL CITY SUBURBAN
245903,1993-94,OTHER CENTRAL CITY SUBURBAN
246908,1993-94,OTHER CENTRAL CITY SUBURBAN
246911,1993-94,OTHER CENTRAL CITY SUBURBAN
1907,1993-94,INDEPENDENT TOWN
3903,1993-94,INDEPENDENT TOWN
7905,1993-94,INDEPENDENT TOWN
11901,1993-94,INDEPENDENT TOWN
13901,1993-94,INDEPENDENT TOWN
19907,1993-94,INDEPENDENT TOWN
25902,1993-94,INDEPENDENT TOWN
28902,1993-94,INDEPENDENT TOWN
34901,1993-94,INDEPENDENT TOWN
37904,1993-94,INDEPENDENT TOWN
46902,1993-94,INDEPENDENT TOWN
49901,1993-94,INDEPENDENT TOWN
50902,1993-94,INDEPENDENT TOWN
70903,1993-94,INDEPENDENT TOWN
70912,1993-94,INDEPENDENT TOWN
72903,1993-94,INDEPENDENT TOWN
91903,1993-94,INDEPENDENT TOWN
91906,1993-94,INDEPENDENT TOWN
94901,1993-94,INDEPENDENT TOWN
95905,1993-94,INDEPENDENT TOWN
100904,1993-94,INDEPENDENT TOWN
100907,1993-94,INDEPENDENT TOWN
102902,1993-94,INDEPENDENT TOWN
105902,1993-94,INDEPENDENT TOWN
107901,1993-94,INDEPENDENT TOWN
109904,1993-94,INDEPENDENT TOWN
109911,1993-94,INDEPENDENT TOWN
111901,1993-94,INDEPENDENT TOWN
112901,1993-94,INDEPENDENT TOWN
114901,1993-94,INDEPENDENT TOWN
