DISTRICT,TYPE
2901,D
4901,G
5901,H
14901,G
15816,I
15901,B
20901,B
20902,D
21805,I
22901,G
34901,E
34902,H
36901,D
37901,H
43901,D
43902,F
57806,I
57810,I
57814,I
57816,I
57829,I
57832,I
61907,D
61910,D
70901,H
71906,H
84804,I
93901,E
95901,H
101803,I
101810,I
101815,I
101819,I
101849,I
101902,B
101903,B
107901,E
109901,H
109912,H
110901,H
125901,E
126901,D
127901,H
140901,H
161918,H
178901,H
180903,H
184907,B
188901,C
194902,H
196901,H
205901,D
209901,H
212803,I
212901,G
217901,H
220802,I
220901,A
220915,B
221901,C
227801,I
227821,I
227825,I
227901,A
228905,H
249901,H
250906,G
