Name,District,Type,Description,SchoolYear
A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,I,CHARTER SCHOOL DISTRICTS,2012-13
A+ ACADEMY,057829,I,CHARTER SCHOOL DISTRICTS,2012-13
ABBOTT ISD,109901,H,RURAL,2012-13
ABERNATHY ISD,095901,H,RURAL,2012-13
ABILENE ISD,221901,C,OTHER CENTRAL CITY,2012-13
ACADEMY FOR ACADEMIC EXCELLENCE,057814,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY ISD,014901,G,NON-METROPOLITAN STABLE,2012-13
ACADEMY OF ACCELERATED LEARNING IN,101810,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY OF CAREERS AND TECHNOLOGIE,015816,I,CHARTER SCHOOL DISTRICTS,2012-13
ACADEMY OF DALLAS,057810,I,CHARTER SCHOOL DISTRICTS,2012-13
ACCELERATED INTERMEDIATE ACADEMY,101849,I,CHARTER SCHOOL DISTRICTS,2012-13
ADRIAN ISD,180903,H,RURAL,2012-13
ADVANTAGE ACADEMY,057806,I,CHARTER SCHOOL DISTRICTS,2012-13
AGUA DULCE ISD,178901,H,RURAL,2012-13
ALAMO HEIGHTS ISD,015901,B,MAJOR SUBURBAN,2012-13
ALBA-GOLDEN ISD,250906,G,NON-METROPOLITAN STABLE,2012-13
ALBANY ISD,209901,H,RURAL,2012-13
ALDINE ISD,101902,B,MAJOR SUBURBAN,2012-13
ALEDO ISD,184907,B,MAJOR SUBURBAN,2012-13
ALICE ISD,125901,E,INDEPENDENT TOWN,2012-13
ALIEF ISD,101903,B,MAJOR SUBURBAN,2012-13
ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,CHARTER SCHOOL DISTRICTS,2012-13
ALLEN ISD,043901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ALPHA CHARTER SCHOOL,057832,I,CHARTER SCHOOL DISTRICTS,2012-13
ALPINE ISD,022901,G,NON-METROPOLITAN STABLE,2012-13
ALTO ISD,037901,H,RURAL,2012-13
ALVARADO ISD,126901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ALVIN ISD,020901,B,MAJOR SUBURBAN,2012-13
ALVORD ISD,249901,H,RURAL,2012-13
AMARILLO ISD,188901,C,OTHER CENTRAL CITY,2012-13
AMBASSADORS PREPARATORY ACADEMY,084804,I,CHARTER SCHOOL DISTRICTS,2012-13
AMERICAN YOUTHWORKS CHARTER SCHOOL,227801,I,CHARTER SCHOOL DISTRICTS,2012-13
AMHERST ISD,140901,H,RURAL,2012-13
AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,CHARTER SCHOOL DISTRICTS,2012-13
ANAHUAC ISD,036901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANDERSON-SHIRO CISD,093901,E,INDEPENDENT TOWN,2012-13
ANDREWS ISD,002901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANGLETON ISD,020902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ANNA ISD,043902,F,NON-METROPOLITAN FAST GROWING,2012-13
ANSON ISD,127901,H,RURAL,2012-13
ANTHONY ISD,071906,G,NON-METROPOLITAN STABLE,2012-13
ANTON ISD,110901,H,RURAL,2012-13
APPLE SPRINGS ISD,228905,H,RURAL,2012-13
AQUILLA ISD,109912,H,RURAL,2012-13
ARANSAS COUNTY ISD,004901,G,NON-METROPOLITAN STABLE,2012-13
ARANSAS PASS ISD,205901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ARCHER CITY ISD,005901,H,RURAL,2012-13
ARGYLE ISD,061910,D,OTHER CENTRAL CITY SUBURBAN,2012-13
ARISTOI CLASSICAL ACADEMY,101803,I,CHARTER SCHOOL DISTRICTS,2012-13
ARLINGTON CLASSICS ACADEMY,220802,I,CHARTER SCHOOL DISTRICTS,2012-13
ARLINGTON ISD,220901,A,MAJOR URBAN,2012-13
ARP ISD,212901,G,NON-METROPOLITAN STABLE,2012-13
ARROW ACADEMY,021805,I,CHARTER SCHOOL DISTRICTS,2012-13
ASPERMONT ISD,217901,H,RURAL,2012-13
ATHENS ISD,107901,E,INDEPENDENT TOWN,2012-13
ATLANTA ISD,034901,E,INDEPENDENT TOWN,2012-13
AUBREY ISD,061907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN CAN ACADEMY CHARTER SCHOOL,227818,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN DISCOVERY SCHOOL,227821,I,CHARTER SCHOOL DISTRICTS,2012-13
AUSTIN ISD,227901,A,MAJOR URBAN,2012-13
AUSTWELL-TIVOLI ISD,196901,H,RURAL,2012-13
AVALON ISD,070901,F,NON-METROPOLITAN FAST GROWING,2012-13
AVERY ISD,194902,H,RURAL,2012-13
AVINGER ISD,034902,H,RURAL,2012-13
AXTELL ISD,161918,H,RURAL,2012-13
AZLE ISD,220915,B,MAJOR SUBURBAN,2012-13
AZLEWAY CHARTER SCHOOL,212803,I,CHARTER SCHOOL DISTRICTS,2012-13
BAIRD ISD,030903,H,RURAL,2012-13
BALLINGER ISD,200901,G,NON-METROPOLITAN STABLE,2012-13
BALMORHEA ISD,195902,H,RURAL,2012-13
BANDERA ISD,010902,B,MAJOR SUBURBAN,2012-13
BANGS ISD,025901,G,NON-METROPOLITAN STABLE,2012-13
BANQUETE ISD,178913,G,NON-METROPOLITAN STABLE,2012-13
BARBERS HILL ISD,036902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BARTLETT ISD,014902,H,RURAL,2012-13
BASTROP ISD,011901,E,INDEPENDENT TOWN,2012-13
BAY AREA CHARTER INC,101809,I,CHARTER SCHOOL DISTRICTS,2012-13
BAY CITY ISD,158901,E,INDEPENDENT TOWN,2012-13
BEATRICE MAYES INSTITUTE CHARTER S,101847,I,CHARTER SCHOOL DISTRICTS,2012-13
BEAUMONT ISD,123910,C,OTHER CENTRAL CITY,2012-13
BECKVILLE ISD,183901,H,RURAL,2012-13
BEEVILLE ISD,013901,E,INDEPENDENT TOWN,2012-13
BELLEVUE ISD,039904,H,RURAL,2012-13
BELLS ISD,091901,H,RURAL,2012-13
BELLVILLE ISD,008901,E,INDEPENDENT TOWN,2012-13
BELTON ISD,014903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BEN BOLT-PALITO BLANCO ISD,125902,H,RURAL,2012-13
BENAVIDES ISD,066901,H,RURAL,2012-13
BENJAMIN ISD,138904,H,RURAL,2012-13
BEXAR COUNTY ACADEMY,015809,I,CHARTER SCHOOL DISTRICTS,2012-13
BIG SANDY ISD,187901,H,RURAL,2012-13
BIG SANDY ISD,230901,H,RURAL,2012-13
BIG SPRING ISD,114901,E,INDEPENDENT TOWN,2012-13
BIG SPRINGS CHARTER SCHOOL,193801,I,CHARTER SCHOOL DISTRICTS,2012-13
BIRDVILLE ISD,220902,B,MAJOR SUBURBAN,2012-13
BISHOP CISD,178902,G,NON-METROPOLITAN STABLE,2012-13
BLACKWELL CISD,177903,H,RURAL,2012-13
BLANCO ISD,016902,G,NON-METROPOLITAN STABLE,2012-13
BLAND ISD,116915,H,RURAL,2012-13
BLANKET ISD,025904,H,RURAL,2012-13
BLOOMBURG ISD,034909,H,RURAL,2012-13
BLOOMING GROVE ISD,175902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BLOOMINGTON ISD,235901,G,NON-METROPOLITAN STABLE,2012-13
BLUE RIDGE ISD,043917,H,RURAL,2012-13
BLUFF DALE ISD,072904,H,RURAL,2012-13
BLUM ISD,109913,H,RURAL,2012-13
BOB HOPE SCHOOL,123807,I,CHARTER SCHOOL DISTRICTS,2012-13
BOERNE ISD,130901,B,MAJOR SUBURBAN,2012-13
BOLES ISD,116916,H,RURAL,2012-13
BOLING ISD,241901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BONHAM ISD,074903,E,INDEPENDENT TOWN,2012-13
BOOKER ISD,148901,H,RURAL,2012-13
BORDEN COUNTY ISD,017901,H,RURAL,2012-13
BORGER ISD,117901,G,NON-METROPOLITAN STABLE,2012-13
BOSQUEVILLE ISD,161923,F,NON-METROPOLITAN FAST GROWING,2012-13
BOVINA ISD,185901,H,RURAL,2012-13
BOWIE ISD,169901,G,NON-METROPOLITAN STABLE,2012-13
BOYD ISD,249902,G,NON-METROPOLITAN STABLE,2012-13
BOYS RANCH ISD,180901,H,RURAL,2012-13
BRACKETT ISD,136901,H,RURAL,2012-13
BRADY ISD,160901,G,NON-METROPOLITAN STABLE,2012-13
BRAZOS ISD,008903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BRAZOS RIVER CHARTER SCHOOL,213801,I,CHARTER SCHOOL DISTRICTS,2012-13
BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,I,CHARTER SCHOOL DISTRICTS,2012-13
BRAZOSPORT ISD,020905,C,OTHER CENTRAL CITY,2012-13
BRECKENRIDGE ISD,215901,G,NON-METROPOLITAN STABLE,2012-13
BREMOND ISD,198901,H,RURAL,2012-13
BRENHAM ISD,239901,E,INDEPENDENT TOWN,2012-13
BRIDGE CITY ISD,181901,G,NON-METROPOLITAN STABLE,2012-13
BRIDGEPORT ISD,249903,E,INDEPENDENT TOWN,2012-13
BRIGHT IDEAS CHARTER,243801,I,CHARTER SCHOOL DISTRICTS,2012-13
BROADDUS ISD,203902,H,RURAL,2012-13
BROCK ISD,184909,D,OTHER CENTRAL CITY SUBURBAN,2012-13
BRONTE ISD,041901,H,RURAL,2012-13
BROOKELAND ISD,121902,H,RURAL,2012-13
BROOKESMITH ISD,025908,H,RURAL,2012-13
BROOKS ACADEMY OF SCIENCE AND ENGI,015830,I,CHARTER SCHOOL DISTRICTS,2012-13
