CountyName,POWPUMA,POWPUMAType,Weight
Anderson,1800,POWPUMA12,58458
Andrews,3200,POWPUMA12,14786
Angelina,4000,POWPUMA12,86771
Aransas,6500,POWPUMA12,23158
Archer,600,POWPUMA12,9054
Armstrong,100,POWPUMA12,1901
Atascosa,6100,POWPUMA12,44911
Austin,5000,POWPUMA12,28417
Bailey,400,POWPUMA12,7165
Bandera,6100,POWPUMA12,20485
Bastrop,5100,POWPUMA12,74171
Baylor,600,POWPUMA12,3726
Bee,6500,POWPUMA12,31861
Bell,3500,POWPUMA12,310235
Bexar,5900,POWPUMA12,1714773
Blanco,6000,POWPUMA12,10497
Borden,2800,POWPUMA12,641
Bosque,3700,POWPUMA12,18212
Bowie,1100,POWPUMA12,92565
Brazoria,4800,POWPUMA12,313166
Brazos,3602,POWPUMA12,194851
Brewster,3200,POWPUMA12,9232
Briscoe,100,POWPUMA12,1637
Brooks,6900,POWPUMA12,7223
Brown,2600,POWPUMA12,38106
Burleson,3601,POWPUMA12,17187
Burnet,3400,POWPUMA12,42750
Caldwell,5100,POWPUMA12,38066
Calhoun,5600,POWPUMA12,21381
Callahan,2600,POWPUMA12,13544
Cameron,6700,POWPUMA12,406220
Camp,1300,POWPUMA12,12401
Carson,100,POWPUMA12,6182
Cass,1100,POWPUMA12,30464
Castro,100,POWPUMA12,8062
Chambers,4400,POWPUMA12,35096
Cherokee,1700,POWPUMA12,50845
Childress,100,POWPUMA12,7041
Clay,600,POWPUMA12,10752
Cochran,400,POWPUMA12,3127
Coke,2800,POWPUMA12,3320
Coleman,2600,POWPUMA12,8895
Collin,1900,POWPUMA12,782341
Collingsworth,100,POWPUMA12,3057
Colorado,5000,POWPUMA12,20874
Comal,5800,POWPUMA12,108472
Comanche,2600,POWPUMA12,13974
Concho,2800,POWPUMA12,4087
Cooke,800,POWPUMA12,38437
Coryell,3400,POWPUMA12,75388
Cottle,600,POWPUMA12,1505
Crane,3200,POWPUMA12,4375
Crockett,2800,POWPUMA12,3719
Crosby,400,POWPUMA12,6059
Culberson,3200,POWPUMA12,2398
Dallam,100,POWPUMA12,6703
Dallas,2300,POWPUMA12,2368139
Dawson,2800,POWPUMA12,13833
Deaf Smith,100,POWPUMA12,19372
Delta,1000,POWPUMA12,5231
Denton,2000,POWPUMA12,662614
DeWitt,5500,POWPUMA12,20097
Dickens,400,POWPUMA12,2444
Dimmit,6200,POWPUMA12,9996
Donley,100,POWPUMA12,3677
Duval,6400,POWPUMA12,11782
Eastland,2600,POWPUMA12,18583
Ector,3100,POWPUMA12,137130
Edwards,6200,POWPUMA12,2002
Ellis,2101,POWPUMA12,149610
El Paso,3300,POWPUMA12,800647
Erath,2200,POWPUMA12,37890
Falls,3700,POWPUMA12,17866
Fannin,800,POWPUMA12,33915
Fayette,5100,POWPUMA12,24554
Fisher,2600,POWPUMA12,3974
Floyd,400,POWPUMA12,6446
Foard,600,POWPUMA12,1336
Fort Bend,4900,POWPUMA12,585375
Franklin,1000,POWPUMA12,10605
Freestone,3700,POWPUMA12,19816
Frio,6100,POWPUMA12,17217
Gaines,3200,POWPUMA12,17526
Galveston,4700,POWPUMA12,291309
Garza,400,POWPUMA12,6461
Gillespie,6000,POWPUMA12,24837
Glasscock,2800,POWPUMA12,1226
Goliad,5500,POWPUMA12,7210
Gonzales,5500,POWPUMA12,19807
Gray,100,POWPUMA12,22535
Grayson,800,POWPUMA12,120877
Gregg,1600,POWPUMA12,121730
Grimes,3601,POWPUMA12,26604
Guadalupe,5700,POWPUMA12,131533
Hale,400,POWPUMA12,36273
Hall,100,POWPUMA12,3353
Hamilton,3400,POWPUMA12,8517
Hansford,100,POWPUMA12,5613
Hardeman,600,POWPUMA12,4139
Hardin,4200,POWPUMA12,54635
Harris,4600,POWPUMA12,4092459
Harrison,1200,POWPUMA12,65631
Hartley,100,POWPUMA12,6062
Haskell,2600,POWPUMA12,5899
Hays,5400,POWPUMA12,157107
Hemphill,100,POWPUMA12,3807
Henderson,1800,POWPUMA12,78532
Hidalgo,6800,POWPUMA12,774769
Hill,3700,POWPUMA12,35089
Hockley,400,POWPUMA12,22935
Hood,2200,POWPUMA12,51182
Hopkins,1000,POWPUMA12,35161
Houston,3900,POWPUMA12,23732
