CountyName,POWPUMA2K,Weight
Anderson,1800,58458
Andrews,3400,14786
Angelina,1700,86771
Aransas,6100,23158
Archer,600,9054
Armstrong,100,1901
Atascosa,5700,44911
Austin,3900,28417
Bailey,400,7165
Bandera,5800,20485
Bastrop,5100,74171
Baylor,600,3726
Bee,6100,31861
Bell,3700,310235
Bexar,5600,1714773
Blanco,3600,10497
Borden,3100,641
Bosque,2700,18212
Bowie,1100,92565
Brazoria,4800,313166
Brazos,4000,194851
Brewster,3400,9232
Briscoe,100,1637
Brooks,6500,7223
Brown,3600,38106
Burleson,3900,17187
Burnet,3600,42750
Caldwell,5100,38066
Calhoun,6200,21381
Callahan,2700,13544
Cameron,6800,170626
Cameron,6900,235594
Camp,1200,12401
Carson,100,6182
Cass,1100,30464
Castro,100,8062
Chambers,4500,35096
Cherokee,1500,50845
Childress,100,7041
Clay,600,10752
Cochran,400,3127
Coke,3000,3320
Coleman,3600,8895
Collin,2100,782341
Collingsworth,100,3057
Colorado,5000,20874
Comal,5500,108472
Comanche,2700,13974
Concho,3100,4087
Cooke,600,2
Cooke,800,38435
Coryell,3700,75388
Cottle,600,1505
Crane,3400,4375
Crockett,3100,3719
Crosby,400,6059
Culberson,3400,2398
Dallam,100,6703
Dallas,2300,2368139
Dawson,3100,13833
Deaf Smith,100,19372
Delta,1000,5231
Denton,2200,662614
De Witt,5700,20097
Dickens,400,2444
Dimmit,5900,9996
Donley,100,3677
Duval,6100,11782
Eastland,2700,18583
Ector,3300,137130
Edwards,5900,2002
El Paso,3500,800647
Ellis,2400,149610
Erath,2700,37890
Falls,1900,17866
Fannin,900,33915
Fayette,5100,24554
Fisher,2800,3974
Floyd,400,6446
Foard,600,1336
Fort Bend,4700,585375
Franklin,1000,10605
Freestone,1900,19812
Freestone,3900,4
Frio,5800,17217
Gaines,3400,17526
Galveston,4900,291309
Garza,400,6461
Gillespie,5800,24837
Glasscock,3100,1226
Goliad,5700,7210
Gonzales,5700,19807
Gray,100,22535
Grayson,800,120877
Gregg,1300,121730
Grimes,3900,26596
Grimes,4500,8
Guadalupe,5500,131533
Hale,400,36273
Hall,100,3353
Hamilton,3600,8517
Hansford,100,5613
Hardeman,600,4139
Hardin,4200,54635
Harris,4625,149043
Harris,4690,3943416
Harrison,1300,65631
Hartley,100,6062
Haskell,2800,5899
Hays,5400,157107
Hemphill,100,3807
Henderson,1800,78532
Hidalgo,6600,124153
Hidalgo,6700,650616
Hill,1900,35089
Hockley,400,22935
Hood,2700,51182
Hopkins,1000,35161
Houston,4100,23732
Howard,3100,35012
Hudspeth,3400,3476
Hunt,900,86129
Hutchinson,100,22150
Irion,3100,1599
Jack,600,9044
Jackson,6200,14075
Jasper,1600,35710
Jeff Davis,3400,2342
Jefferson,4300,118296
Jefferson,4400,133977
Jim Hogg,6500,5300
Jim Wells,6100,40838
Johnson,2600,150934
Jones,2800,20202
Karnes,5700,14824
Kaufman,1800,84
Kaufman,2000,103266
Kendall,5800,33410
Kenedy,6500,416
Kent,2800,808
Kerr,5800,49625
Kimble,3100,4607
King,400,286
Kinney,5900,3598
Kleberg,6500,32061
Knox,600,3719
La Salle,5900,6886
Lamar,1000,49793
Lamb,400,13977
Lampasas,3600,19677
Lavaca,5000,19263
Lee,5100,16612
Leon,3900,16801
Liberty,4500,75643
Limestone,1900,23384
Lipscomb,100,3302
Live Oak,6100,11531
Llano,3600,19301
Loving,3400,82
Lubbock,500,278831
Lynn,400,5915
Madison,3900,13664
Marion,1200,10546
Martin,3100,4799
Mason,3100,4012
Matagorda,5000,36702
Maverick,5900,54258
McCulloch,3100,8283
McLennan,3800,234906
McMullen,6100,707
Medina,5700,5
Medina,5800,46001
Menard,3100,2242
Midland,3200,136872
Milam,5100,24757
Mills,3600,4936
Mitchell,2800,9403
Montague,600,19719
Montgomery,4500,455746
Moore,100,21904
Morris,1000,12934
Motley,400,1210
Nacogdoches,1700,64524
Navarro,1900,47735
Newton,1600,14445
Nolan,2800,15216
Nueces,6300,305213
Nueces,6400,35010
Ochiltree,100,10223
Oldham,100,2052
Orange,4200,81837
Palo Pinto,2800,28111
Panola,1500,23796
Parker,2500,116927
Parmer,100,10269
Pecos,3400,15507
Polk,4100,45410
Polk,4500,3
Potter,200,121073
Presidio,3400,7818
Rains,1200,10914
Randall,300,120725
Reagan,3100,3367
Real,5900,3309
Red River,1000,12860
Reeves,3400,13783
Refugio,6100,7383
Roberts,100,929
Robertson,3900,16622
Rockwall,2000,78337
Runnels,3100,10501
Rusk,1500,53330
Sabine,1600,10834
San Augustine,1600,8865
San Jacinto,4100,26384
San Patricio,6400,64804
San Saba,3600,6131
Schleicher,3100,3461
Scurry,2800,16921
Shackelford,2800,3378
Shelby,1600,25448
Sherman,100,3034
Smith,1400,209714
Somervell,2700,8490
Starr,6500,60968
Stephens,2800,9630
Sterling,3100,1143
Stonewall,2800,1490
Sutton,3100,4128
Swisher,100,7854
Tarrant,600,24
Tarrant,2200,837
Tarrant,2500,1808173
Taylor,2900,131506
Terrell,3400,984
Terry,400,12651
Throckmorton,2800,1641
Titus,1000,32334
Tom Green,3000,110224
Travis,5300,727738
Travis,5400,296528
Trinity,4100,14585
Tyler,1600,21766
Upshur,1200,39309
Upton,3100,3355
Uvalde,5900,26405
Val Verde,5900,48879
Van Zandt,1200,52579
Victoria,6200,86793
Walker,4100,67861
Waller,4500,43205
Ward,3400,10658
Washington,3900,33718
Webb,6000,250304
Wharton,5000,41280
Wheeler,100,5410
Wichita,700,131500
Wilbarger,600,13535
Willacy,6500,22134
Williamson,5200,422676
Williamson,5300,3
Wilson,5700,42918
Winkler,3400,7110
Wise,600,59127
Wood,1200,41964
Yoakum,400,7879
Young,600,18550
Zapata,6500,14018
Zavala,5900,11677
