PUMA2K,POWPUMA2K
100,100
200,200
300,300
400,400
501,500
502,500
600,600
700,700
800,800
900,900
1000,1000
1100,1100
1200,1200
1300,1300
1400,1400
1500,1500
1600,1600
1700,1700
1800,1800
1900,1900
2000,2000
2101,2100
2102,2100
2103,2100
2104,2100
2201,2200
2202,2200
2301,2300
2302,2300
2303,2300
2304,2300
2305,2300
2306,2300
2307,2300
2308,2300
2309,2300
2310,2300
2311,2300
2312,2300
2313,2300
2314,2300
2315,2300
2400,2400
2501,2500
2502,2500
2503,2500
2504,2500
2505,2500
2506,2500
2507,2500
2508,2500
2509,2500
2510,2500
2511,2500
2600,2600
2700,2700
2800,2800
2900,2900
3000,3000
3100,3100
3200,3200
3300,3300
3400,3400
3501,3500
3502,3500
3503,3500
3504,3500
3505,3500
3600,3600
3701,3700
3702,3700
3703,3700
3801,3800
3802,3800
3900,3900
4000,4000
4100,4100
4200,4200
4300,4300
4400,4400
4501,4500
4502,4500
4503,4500
4601,4690
4602,4690
4603,4690
4604,4690
4605,4690
4606,4690
4607,4690
4608,4690
4609,4690
4610,4690
4611,4690
4612,4690
4613,4690
4614,4690
4615,4690
4616,4690
4617,4690
4618,4690
4619,4690
4620,4690
4621,4690
4622,4690
4623,4690
4624,4690
4625,4625
4701,4700
4702,4700
4801,4800
4802,4800
4901,4900
4902,4900
5000,5000
5100,5100
5201,5200
5202,5200
5301,5300
5302,5300
5303,5300
5304,5300
5401,5400
5402,5400
5500,5500
5601,5600
5602,5600
5603,5600
5604,5600
5605,5600
5606,5600
5607,5600
5608,5600
5609,5600
5610,5600
5611,5600
5700,5700
5800,5800
5900,5900
6000,6000
6100,6100
6200,6200
6301,6300
6302,6300
6400,6400
6500,6500
6600,6600
6701,6700
6702,6700
6703,6700
6704,6700
6800,6800
6900,6900
