DistrictID,SchoolYear,RecapturePaid
95901,1993-94,0
180903,1993-94,0
15901,1993-94,0
209901,1993-94,0
184907,1993-94,0
43901,1993-94,0
126901,1993-94,0
249901,1993-94,0
93901,1993-94,0
2901,1993-94,0
20902,1993-94,0
110901,1993-94,0
4901,1993-94,0
5901,1993-94,0
61910,1993-94,0
212901,1993-94,0
217901,1993-94,0
227901,1993-94,0
196901,1993-94,787902
220915,1993-94,0
10902,1993-94,0
36902,1993-94,10151501
123910,1993-94,0
183901,1993-94,0
8901,1993-94,0
66901,1993-94,0
187901,1993-94,0
178902,1993-94,242007
177903,1993-94,0
16902,1993-94,0
40903,1993-94,0
72904,1993-94,0
130901,1993-94,0
148901,1993-94,0
17901,1993-94,1325616
249902,1993-94,0
8903,1993-94,0
20905,1993-94,0
215901,1993-94,0
198901,1993-94,0
249903,1993-94,0
184909,1993-94,0
121902,1993-94,0
25908,1993-94,0
24901,1993-94,0
223901,1993-94,0
119901,1993-94,0
186901,1993-94,0
145901,1993-94,0
176901,1993-94,0
27903,1993-94,0
239903,1993-94,0
188904,1993-94,0
29901,1993-94,0
49905,1993-94,0
198902,1993-94,0
106901,1993-94,0
64903,1993-94,0
220919,1993-94,0
57903,1993-94,0
183902,1993-94,0
1902,1993-94,0
103901,1993-94,0
249904,1993-94,0
99902,1993-94,0
174901,1993-94,0
139905,1993-94,0
226901,1993-94,0
67902,1993-94,0
84910,1993-94,0
126903,1993-94,0
18901,1993-94,0
114902,1993-94,0
204901,1993-94,0
21901,1993-94,0
45902,1993-94,0
46902,1993-94,0
130902,1993-94,0
233903,1993-94,0
170902,1993-94,0
57922,1993-94,0
142901,1993-94,0
246914,1993-94,0
109903,1993-94,0
52901,1993-94,0
18908,1993-94,0
53001,1993-94,0
107904,1993-94,0
62901,1993-94,0
55901,1993-94,0
174902,1993-94,0
172902,1993-94,0
57905,1993-94,0
148905,1993-94,507953
58902,1993-94,1519942
249905,1993-94,0
101908,1993-94,34430961
61901,1993-94,0
251901,1993-94,14841049
146903,1993-94,322856
81906,1993-94,0
176903,1993-94,0
144903,1993-94,0
133905,1993-94,0
86024,1993-94,0
174911,1993-94,0
105904,1993-94,0
178905,1993-94,0
171901,1993-94,0
220918,1993-94,0
227909,1993-94,0
68901,1993-94,0
243902,1993-94,0
102906,1993-94,0
30906,1993-94,0
121906,1993-94,0
210906,1993-94,0
143906,1993-94,0
81902,1993-94,0
128904,1993-94,0
75906,1993-94,0
75901,1993-94,0
178914,1993-94,0
148902,1993-94,0
169910,1993-94,0
114904,1993-94,791721
242906,1993-94,1035472
186902,1993-94,0
198903,1993-94,0
86901,1993-94,0
66903,1993-94,0
43905,1993-94,0
84902,1993-94,0
184911,1993-94,0
174903,1993-94,0
183904,1993-94,0
166902,1993-94,0
149901,1993-94,0
246904,1993-94,0
144901,1993-94,0
87901,1993-94,1574190
213901,1993-94,0
126911,1993-94,0
169906,1993-94,0
88902,1993-94,0
89901,1993-94,0
101911,1993-94,0
182901,1993-94,0
156905,1993-94,1014800
182902,1993-94,0
111901,1993-94,0
238904,1993-94,0
90905,1993-94,0
113902,1993-94,0
220906,1993-94,0
165902,1993-94,0
147902,1993-94,6818804
33901,1993-94,0
98901,1993-94,0
135001,1993-94,2282264
143901,1993-94,0
161924,1993-94,0
102904,1993-94,0
123914,1993-94,0
100905,1993-94,0
86902,1993-94,0
244901,1993-94,0
250902,1993-94,0
201902,1993-94,0
208901,1993-94,0
148903,1993-94,0
