"DistrictID","DistrictName","DistrictClassification","SchoolYear","TeacherSalary","TeacherFTE","RecapturePaid"
1902,"CAYUGA ISD","RURAL","1993-94",1307616,45.8503,0
1903,"ELKHART ISD","NON-METROPOLITAN STABLE","1993-94",1893254,73.07,0
1904,"FRANKSTON ISD","RURAL","1993-94",1429601,51.6735,0
1906,"NECHES ISD","NON-METROPOLITAN FAST GROWING","1993-94",665739,25.5966,0
1907,"PALESTINE ISD","INDEPENDENT TOWN","1993-94",7022377,264.5051,0
1908,"WESTWOOD ISD","NON-METROPOLITAN STABLE","1993-94",2991745,111.0771,0
1909,"SLOCUM ISD","RURAL","1993-94",652574,24.4296,0
2901,"ANDREWS ISD","NON-METROPOLITAN STABLE","1993-94",7422090,234.864,0
3902,"HUDSON ISD","NON-METROPOLITAN STABLE","1993-94",3243048,126.5311,0
3903,"LUFKIN ISD","INDEPENDENT TOWN","1993-94",14173063,511.1263,0
3904,"HUNTINGTON ISD","NON-METROPOLITAN STABLE","1993-94",2271265,86.8369,0
3905,"DIBOLL ISD","NON-METROPOLITAN STABLE","1993-94",3527252,136.2186,0
3906,"ZAVALLA ISD","RURAL","1993-94",630492,27.0004,0
3907,"CENTRAL ISD","NON-METROPOLITAN STABLE","1993-94",2093948,82.3822,0
4901,"ARANSAS COUNTY ISD","NON-METROPOLITAN STABLE","1993-94",5275726,193.7987,0
5901,"ARCHER CITY ISD","RURAL","1993-94",1167916,44.5202,0
5902,"HOLLIDAY ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",1485126,55.1466,0
5903,"MEGARGEL ISD","RURAL","1993-94",196716,9.239,0
5904,"WINDTHORST ISD","RURAL","1993-94",659947,27.2121,0
6902,"CLAUDE ISD","RURAL","1993-94",826820,32.2642,0
7901,"CHARLOTTE ISD","RURAL","1993-94",1026436,37.7491,0
7902,"JOURDANTON ISD","NON-METROPOLITAN STABLE","1993-94",2254916,81.0107,0
7904,"LYTLE ISD","NON-METROPOLITAN STABLE","1993-94",1905126,70.5708,0
7905,"PLEASANTON ISD","INDEPENDENT TOWN","1993-94",6069329,229.4864,0
7906,"POTEET ISD","NON-METROPOLITAN STABLE","1993-94",2602251,96.3559,0
8901,"BELLVILLE ISD","NON-METROPOLITAN STABLE","1993-94",3078466,109.6172,0
8902,"SEALY ISD","NON-METROPOLITAN STABLE","1993-94",3920111,126.3896,0
8903,"BRAZOS ISD","NON-METROPOLITAN STABLE","1993-94",2081122,71.5673,0
9901,"MULESHOE ISD","NON-METROPOLITAN STABLE","1993-94",2877079,114.208,0
9903,"SUDAN ISD","RURAL","1993-94",316931,14.6785,0
10901,"MEDINA ISD","RURAL","1993-94",729098,27.2241,0
