DistrictID,SchoolYear,ReportDate,PaymentCycle,RecaptureAmount
109901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
95901,2014-15,5/5/2016 8:15 AM,Final,"$211,019"
95901,2015-16,8/10/2016 4:42 PM,Preliminary,"$281,552"
95901,2016-17,8/2/2016 2:27 PM,Preliminary,"$193,570"
15901,2014-15,5/5/2016 8:15 AM,Final,"$26,028,337"
15901,2015-16,8/10/2016 4:42 PM,Preliminary,"$29,127,387"
15901,2016-17,8/2/2016 2:27 PM,Preliminary,"$34,240,101"
209901,2014-15,5/5/2016 8:15 AM,Final,"$45,497"
209901,2015-16,8/10/2016 4:42 PM,Preliminary,"$33,990"
209901,2016-17,8/2/2016 2:27 PM,Preliminary,"$25,691"
184907,2014-15,5/5/2016 8:15 AM,Final,"$759,271"
184907,2015-16,8/10/2016 4:42 PM,Preliminary,"$822,205"
184907,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,125,936"
43901,2014-15,5/5/2016 8:15 AM,Final,"$760,266"
43901,2015-16,8/10/2016 4:42 PM,Preliminary,"$1,129,136"
43901,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,699,835"
249901,2014-15,5/5/2016 8:15 AM,Final,"$165,485"
249901,2015-16,8/10/2016 4:42 PM,Preliminary,"$100,113"
249901,2016-17,8/2/2016 2:27 PM,Preliminary,"$152,681"
36901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
93901,2014-15,5/5/2016 8:15 AM,Final,$0
93901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
93901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
2901,2014-15,5/5/2016 8:15 AM,Final,"$38,138,662"
2901,2015-16,8/10/2016 4:42 PM,Preliminary,"$29,287,586"
2901,2016-17,8/2/2016 2:27 PM,Preliminary,"$20,049,150"
4901,2014-15,5/5/2016 8:15 AM,Final,"$4,457,205"
4901,2015-16,8/10/2016 4:42 PM,Preliminary,"$4,816,481"
4901,2016-17,8/2/2016 2:27 PM,Preliminary,"$6,024,037"
5901,2014-15,5/5/2016 8:15 AM,Final,"$866,420"
5901,2015-16,8/10/2016 4:42 PM,Preliminary,"$221,718"
5901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
61910,2014-15,5/5/2016 8:15 AM,Final,"$125,715"
61910,2015-16,8/10/2016 4:42 PM,Preliminary,"$140,071"
61910,2016-17,8/2/2016 2:27 PM,Preliminary,"$785,684"
217901,2014-15,5/5/2016 8:15 AM,Final,"$849,520"
217901,2015-16,8/10/2016 4:42 PM,Preliminary,"$676,243"
217901,2016-17,8/2/2016 2:27 PM,Preliminary,"$68,986"
227901,2014-15,5/5/2016 8:15 AM,Final,"$181,251,916"
227901,2015-16,8/10/2016 4:42 PM,Preliminary,"$231,876,776"
227901,2016-17,8/2/2016 2:27 PM,Preliminary,"$358,459,570"
196901,2014-15,5/5/2016 8:15 AM,Final,"$3,220,988"
196901,2015-16,8/10/2016 4:42 PM,Preliminary,"$2,301,821"
196901,2016-17,8/2/2016 2:27 PM,Preliminary,"$2,165,334"
10902,2014-15,5/5/2016 8:15 AM,Final,"$91,834"
10902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
10902,2016-17,8/2/2016 2:27 PM,Preliminary,"$113,385"
36902,2014-15,5/5/2016 8:15 AM,Final,"$10,718,895"
36902,2015-16,8/10/2016 4:42 PM,Preliminary,"$12,982,081"
36902,2016-17,8/2/2016 2:27 PM,Preliminary,"$18,787,185"
123910,2014-15,5/5/2016 8:15 AM,Final,$0
123910,2015-16,8/10/2016 4:42 PM,Preliminary,$0
123910,2016-17,8/2/2016 2:27 PM,Preliminary,$0
183901,2014-15,5/5/2016 8:15 AM,Final,"$70,417"
183901,2015-16,8/10/2016 4:42 PM,Preliminary,"$55,009"
183901,2016-17,8/2/2016 2:27 PM,Preliminary,"$48,429"
8901,2014-15,5/5/2016 8:15 AM,Final,"$31,310"
8901,2015-16,8/10/2016 4:42 PM,Preliminary,"$79,936"
8901,2016-17,8/2/2016 2:27 PM,Preliminary,"$94,841"
66901,2014-15,5/5/2016 8:15 AM,Final,$0
66901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
66901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
187901,2014-15,5/5/2016 8:15 AM,Final,$0
187901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
187901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
114901,2015-16,8/10/2016 4:42 PM,Preliminary,"$100,566"
177903,2014-15,5/5/2016 8:15 AM,Final,"$1,208,145"
177903,2015-16,8/10/2016 4:42 PM,Preliminary,"$1,393,020"
177903,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,333,548"
16902,2014-15,5/5/2016 8:15 AM,Final,"$293,505"
16902,2015-16,8/10/2016 4:42 PM,Preliminary,"$138,109"
16902,2016-17,8/2/2016 2:27 PM,Preliminary,"$423,484"
72904,2014-15,5/5/2016 8:15 AM,Final,"$456,896"
72904,2015-16,8/10/2016 4:42 PM,Preliminary,"$478,857"
72904,2016-17,8/2/2016 2:27 PM,Preliminary,"$466,900"
130901,2014-15,5/5/2016 8:15 AM,Final,"$7,743,188"
130901,2015-16,8/10/2016 4:42 PM,Preliminary,"$6,728,515"
130901,2016-17,8/2/2016 2:27 PM,Preliminary,"$9,273,278"
148901,2014-15,5/5/2016 8:15 AM,Final,"$117,490"
148901,2015-16,8/10/2016 4:42 PM,Preliminary,"$160,163"
148901,2016-17,8/2/2016 2:27 PM,Preliminary,"$115,212"
17901,2014-15,5/5/2016 8:15 AM,Final,"$4,262,968"
17901,2015-16,8/10/2016 4:42 PM,Preliminary,"$3,950,082"
17901,2016-17,8/2/2016 2:27 PM,Preliminary,"$3,216,867"
169901,2014-15,5/5/2016 8:15 AM,Final,$0
169901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
169901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
249902,2014-15,5/5/2016 8:15 AM,Final,"$117,905"
249902,2015-16,8/10/2016 4:42 PM,Preliminary,"$728,257"
249902,2016-17,8/2/2016 2:27 PM,Preliminary,"$56,432"
136901,2016-17,8/2/2016 2:27 PM,Preliminary,"$11,226"
20905,2014-15,5/5/2016 8:15 AM,Final,"$1,321,025"
20905,2015-16,8/10/2016 4:42 PM,Preliminary,$0
20905,2016-17,8/2/2016 2:27 PM,Preliminary,"$6,014,473"
215901,2014-15,5/25/2016 9:00 AM,Final,$0
215901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
198901,2014-15,5/5/2016 8:15 AM,Final,$0
198901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
198901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
239901,2014-15,5/5/2016 8:15 AM,Final,$0
239901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
239901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
249903,2014-15,5/5/2016 8:15 AM,Final,"$325,892"
249903,2015-16,8/10/2016 4:42 PM,Preliminary,"$335,423"
249903,2016-17,8/2/2016 2:27 PM,Preliminary,"$361,628"
203902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
184909,2014-15,5/5/2016 8:15 AM,Final,$0
184909,2015-16,8/10/2016 4:42 PM,Preliminary,$0
184909,2016-17,8/2/2016 2:27 PM,Preliminary,"$5,718"
121902,2014-15,4/14/2016 3:54 PM,Final,$0
121902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
121902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
223901,2014-15,5/5/2016 8:15 AM,Final,"$148,490"
223901,2015-16,8/10/2016 4:42 PM,Preliminary,"$78,915"
21902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
119901,2014-15,5/5/2016 8:15 AM,Final,$0
119901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
119901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
186901,2014-15,5/5/2016 8:15 AM,Final,"$634,060"
186901,2015-16,8/10/2016 4:42 PM,Preliminary,"$462,081"
186901,2016-17,8/2/2016 2:27 PM,Preliminary,"$412,472"
145901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
176901,2014-15,5/5/2016 8:15 AM,Final,"$78,594"
176901,2015-16,8/10/2016 4:42 PM,Preliminary,"$72,931"
176901,2016-17,8/2/2016 2:27 PM,Preliminary,"$76,531"
27903,2014-15,5/5/2016 8:15 AM,Final,$0
27903,2015-16,8/10/2016 4:42 PM,Preliminary,$0
27903,2016-17,8/2/2016 2:27 PM,Preliminary,$0
239903,2014-15,5/5/2016 8:15 AM,Final,"$791,667"
239903,2015-16,8/10/2016 4:42 PM,Preliminary,"$644,653"
239903,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,003,892"
188904,2014-15,5/5/2016 8:15 AM,Final,"$708,210"
188904,2015-16,8/10/2016 4:42 PM,Preliminary,"$1,268,069"
188904,2016-17,8/2/2016 2:27 PM,Preliminary,"$840,753"
26901,2014-15,5/5/2016 8:15 AM,Final,$0
26901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
26901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
29901,2014-15,5/5/2016 8:15 AM,Final,"$9,523,127"
29901,2015-16,8/10/2016 4:42 PM,Preliminary,"$8,458,184"
29901,2016-17,8/2/2016 2:27 PM,Preliminary,"$8,038,213"
49905,2014-15,5/5/2016 8:15 AM,Final,"$17,270"
49905,2015-16,8/10/2016 4:42 PM,Preliminary,"$18,137"
49905,2016-17,8/2/2016 2:27 PM,Preliminary,"$15,917"
198902,2014-15,4/14/2016 3:54 PM,Final,"$14,088"
198902,2015-16,8/10/2016 4:42 PM,Preliminary,"$10,451"
198902,2016-17,8/2/2016 2:27 PM,Preliminary,"$15,027"
106901,2014-15,5/5/2016 8:15 AM,Final,"$8,384,264"
106901,2015-16,8/10/2016 4:42 PM,Preliminary,"$7,769,582"
106901,2016-17,8/2/2016 2:27 PM,Preliminary,"$7,958,293"
191901,2014-15,5/5/2016 8:15 AM,Final,$0
191901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
191901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
64903,2014-15,5/5/2016 8:15 AM,Final,"$49,771,815"
64903,2015-16,8/10/2016 4:42 PM,Preliminary,"$43,560,920"
64903,2016-17,8/2/2016 2:27 PM,Preliminary,"$45,129,226"
220919,2014-15,5/5/2016 8:15 AM,Final,"$14,221,643"
220919,2015-16,8/10/2016 4:42 PM,Preliminary,"$15,630,201"
220919,2016-17,8/2/2016 2:27 PM,Preliminary,"$20,957,167"
57903,2014-15,5/5/2016 8:15 AM,Final,$0
57903,2015-16,8/10/2016 4:42 PM,Preliminary,$0
57903,2016-17,8/2/2016 2:27 PM,Preliminary,$0
183902,2014-15,5/5/2016 8:15 AM,Final,"$14,235,343"
183902,2015-16,8/10/2016 4:42 PM,Preliminary,"$13,887,044"
183902,2016-17,8/2/2016 2:27 PM,Preliminary,"$15,195,649"
1902,2014-15,4/14/2016 3:54 PM,Final,$0
1902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
1902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
145902,2014-15,5/5/2016 8:15 AM,Final,$0
145902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
145902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
103901,2014-15,5/5/2016 8:15 AM,Final,"$1,179,299"
103901,2015-16,8/10/2016 4:42 PM,Preliminary,"$767,905"
103901,2016-17,8/2/2016 2:27 PM,Preliminary,"$439,890"
7901,2015-16,8/10/2016 4:42 PM,Preliminary,"$7,676"
249904,2014-15,5/5/2016 8:15 AM,Final,"$1,088,808"
249904,2015-16,8/10/2016 4:42 PM,Preliminary,"$1,158,820"
249904,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,157,334"
99902,2014-15,5/5/2016 8:15 AM,Final,"$716,456"
99902,2015-16,8/10/2016 4:42 PM,Preliminary,"$372,883"
99902,2016-17,8/2/2016 2:27 PM,Preliminary,$595
174901,2014-15,5/5/2016 8:15 AM,Final,"$28,845"
174901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
174901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
139905,2014-15,5/5/2016 8:15 AM,Final,"$1,651,589"
139905,2015-16,8/10/2016 4:42 PM,Preliminary,"$945,758"
139905,2016-17,8/2/2016 2:27 PM,Preliminary,"$1,346,230"
226901,2014-15,5/5/2016 8:15 AM,Final,$0
226901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
67902,2014-15,4/14/2016 3:54 PM,Final,"$236,424"
67902,2015-16,8/10/2016 4:42 PM,Preliminary,"$205,423"
67902,2016-17,8/2/2016 2:27 PM,Preliminary,"$432,785"
84910,2014-15,5/5/2016 8:15 AM,Final,$0
84910,2015-16,8/10/2016 4:42 PM,Preliminary,$0
84910,2016-17,8/2/2016 2:27 PM,Preliminary,$0
126903,2014-15,5/5/2016 8:15 AM,Final,"$93,950"
126903,2016-17,8/2/2016 2:27 PM,Preliminary,"$68,223"
18901,2014-15,5/5/2016 8:15 AM,Final,"$52,073"
18901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
18901,2016-17,8/2/2016 2:27 PM,Preliminary,"$53,821"
114902,2014-15,5/5/2016 8:15 AM,Final,$0
114902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
114902,2016-17,8/2/2016 2:27 PM,Preliminary,$0
204901,2014-15,5/5/2016 8:15 AM,Final,$0
204901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
204901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
21901,2014-15,5/5/2016 8:15 AM,Final,$0
21901,2015-16,8/10/2016 4:42 PM,Preliminary,$0
21901,2016-17,8/2/2016 2:27 PM,Preliminary,$0
45902,2014-15,5/5/2016 8:15 AM,Final,"$79,322"
45902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
45902,2016-17,8/2/2016 2:27 PM,Preliminary,"$111,397"
46902,2014-15,5/5/2016 8:15 AM,Final,$0
46902,2015-16,8/10/2016 4:42 PM,Preliminary,$0
